collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2016,72447,권혁,한화,,False,95.333,66,3.87063,1.42,6,2,3,13,0,77,42,7,93,5,45,41,7.27,3.97,1.83,18.4,10.0,1.427,1.95,1.444,RP,1.0
2017,72447,권혁,한화,,False,31.333,37,6.31915,1.53,1,3,0,11,0,17,9,5,39,6,23,22,4.88,2.59,1.89,11.6,6.1,-0.42,-0.25,0.847,SU,1.0
2018,72447,권혁,한화,,False,11.0,16,4.90909,1.18,1,1,0,3,0,11,4,0,9,2,6,6,9.0,3.27,2.75,25.0,9.1,-0.079,0.11,0.688,RP,1.0
2019,72447,권혁,두산,,False,36.667,57,4.90909,1.17,2,2,1,11,0,21,7,2,36,3,23,20,5.15,1.72,3.0,13.5,4.5,0.483,-0.37,0.643,RP,1.0
2020,72447,권혁,두산,,False,7.667,15,9.3913,1.96,2,2,0,2,0,7,4,0,11,0,9,8,8.22,4.7,1.75,18.4,10.5,-0.034,-0.29,0.511,RP,1.0
2020,50203,권휘,두산,,False,13.667,14,5.26829,1.61,0,1,0,1,0,10,6,2,16,1,8,8,6.59,3.95,1.67,15.9,9.5,-0.34,-0.03,0.976,RP,1.0
2021,50203,권휘,두산,,False,20.333,24,2.65574,1.48,0,0,0,1,0,15,14,2,16,0,6,6,6.64,6.2,1.07,16.3,15.2,0.216,0.32,0.847,RP,1.0
2022,50203,권휘,두산,,False,9.333,10,5.78571,1.39,0,0,0,1,0,5,5,1,8,1,6,6,4.82,4.82,1.0,12.5,12.5,0.046,-0.1,0.933,RP,1.0
2024,50203,권휘,두산,,False,9.0,8,11.0,2.44,0,0,0,0,0,11,7,0,15,0,11,11,11.0,7.0,1.5699999999999998,22.4,14.3,-0.286,-0.22,1.125,RP,1.0
2010,79858,글로버,SK,,False,105.0,22,5.65714,1.55,6,8,0,0,7,85,50,5,113,18,71,66,7.29,4.29,1.7,18.0,10.6,0.0,,4.773,SP,1.0
2011,79858,글로버,SK,,False,121.0,24,4.23967,1.29,7,6,0,0,11,122,41,9,115,11,65,57,9.07,3.05,2.98,23.6,7.9,0.0,,5.042,SP,1.0
2010,75258,금민철,넥센,투수,False,120.667,24,4.40055,1.5699999999999998,6,11,0,0,9,86,71,15,118,10,63,59,6.41,5.3,1.21,15.8,13.1,0.0,,5.028,SP,1.0
2011,75258,금민철,넥센,투수,False,32.333,8,5.28866,1.92,2,5,0,0,0,16,31,4,31,3,28,19,4.45,8.63,0.52,10.1,19.5,0.0,,4.042,SP,1.0
2014,75258,금민철,넥센,투수,False,41.667,11,6.048,1.94,3,5,0,0,3,24,30,7,51,4,35,28,5.18,6.48,0.8,11.5,14.4,-0.54,0.17,3.788,SP,1.0
2015,75258,금민철,넥센,투수,False,22.0,7,4.5,1.77,1,1,0,0,0,11,14,2,25,2,11,11,4.5,5.73,0.79,10.6,13.5,0.153,0.34,3.143,SP,1.0
2016,75258,금민철,넥센,투수,False,26.333,14,5.12658,1.71,1,1,0,0,0,16,9,1,36,2,16,15,5.47,3.08,1.78,12.8,7.2,-0.467,0.22,1.881,RP,1.0
2017,75258,금민철,넥센,투수,False,54.0,36,6.33333,2.11,4,4,0,3,0,42,33,3,81,3,40,38,7.0,5.5,1.27,15.6,12.3,0.418,0.28,1.5,RP,1.0
2018,75258,금민철,KT,투수,True,156.333,29,5.41151,1.79,8,12,0,0,11,79,68,7,212,19,104,94,4.55,3.91,1.16,11.0,9.4,-0.481,2.3,5.391,SP,1.0
2019,75258,금민철,KT,투수,False,57.0,14,5.05263,1.6,1,4,0,0,5,26,25,7,66,5,38,32,4.11,3.95,1.04,9.9,9.5,0.262,0.18,4.071,SP,1.0
2020,75258,금민철,KT,투수,False,2.333,3,15.4286,3.0,0,0,0,0,0,2,1,2,6,0,4,4,7.71,3.86,2.0,13.3,6.7,-0.144,-0.11,0.778,RP,1.0
2026,56800,긴지로,SSG,투수,False,16.0,4,9.5625,2.0,0,3,0,0,0,18,14,1,18,5,17,17,10.13,7.88,1.29,22.2,17.3,-0.884,-0.41,4.0,SP,0.757
2011,77263,김강률,두산,투수,False,25.333,19,3.90789,1.7,0,0,1,3,0,20,13,1,30,2,11,11,7.11,4.62,1.54,17.1,11.1,0.0,,1.333,RP,1.0
2012,77263,김강률,두산,투수,False,34.333,30,2.8835,1.31,0,0,0,0,0,27,17,2,28,1,11,11,7.08,4.46,1.59,18.8,11.8,0.0,,1.144,RP,1.0
2013,77263,김강률,두산,투수,False,19.667,17,3.20339,1.78,0,0,0,0,0,17,17,0,18,1,8,7,7.78,7.78,1.0,18.5,18.5,0.0,,1.157,RP,1.0
2014,77263,김강률,두산,투수,False,16.667,14,8.1,1.92,0,1,0,0,0,13,7,0,25,5,16,15,7.02,3.78,1.86,16.3,8.8,-0.284,-0.23,1.19,RP,1.0
2015,77263,김강률,두산,투수,False,14.667,16,2.45455,1.64,3,1,0,3,0,7,10,0,14,1,5,4,4.3,6.14,0.7,10.4,14.9,-0.141,0.19,0.917,RP,1.0
2016,77263,김강률,두산,투수,False,28.0,25,5.14286,1.71,0,2,0,4,0,21,17,2,31,2,18,16,6.75,5.46,1.24,16.8,13.6,0.199,-0.07,1.12,RP,1.0
2017,77263,김강률,두산,투수,False,89.0,70,3.4382,1.36,7,2,7,12,0,73,32,3,89,6,39,34,7.38,3.24,2.28,19.1,8.4,1.641,1.26,1.271,RP,1.0
2018,77263,김강률,두산,투수,False,76.0,65,4.61842,1.26,5,0,6,11,0,81,24,3,72,7,42,39,9.59,2.84,3.38,25.6,7.6,2.509,0.74,1.169,RP,1.0
2020,77263,김강률,두산,투수,False,28.0,30,3.53571,2.0,2,2,0,0,0,28,20,4,36,1,22,11,9.0,6.43,1.4,19.9,14.2,-0.057,-0.35,0.933,RP,1.0
