collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2024,69332,주성원,키움,외야수,False,27,55,0.2,0.279,0.273,0.552,0.073,0.278,0.267,51.9,1,5,7,11,1,0,6,0,18,0,-0.288,-0.2,1.0
2025,69332,주성원,키움,외야수,False,58,156,0.25,0.322,0.308,0.63,0.0579999999999999,0.342,0.301,85.0,1,12,21,39,6,0,13,4,45,4,-1.356,0.47,1.0
2026,69332,주성원,키움,외야수,False,11,16,0.125,0.3,0.125,0.425,0.0,0.2,0.282,65.3,0,0,2,2,0,0,3,1,6,0,-0.408,-0.04,0.757
2024,52330,주승우,키움,투수,False,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2025,52330,주승우,키움,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2015,65707,주현상,한화,투수,False,103,214,0.2102803738317757,0.288,0.243,0.531,0.033,0.265,0.249,0.0,0,12,18,45,7,0,21,3,46,2,-1.518,,1.0
2016,65707,주현상,한화,투수,False,15,8,0.25,0.25,0.25,0.5,0.0,0.286,0.225,0.0,0,0,0,2,0,0,0,0,1,0,-0.104,,1.0
2022,65707,주현상,한화,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2024,65707,주현상,한화,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2016,66354,주효상,넥센,포수,False,12,18,0.2222222222222222,0.263,0.278,0.541,0.056,0.444,0.245,0.0,0,3,3,4,1,0,1,0,9,0,0.011,,1.0
2017,66354,주효상,넥센,포수,False,64,118,0.1949152542372881,0.264,0.263,0.527,0.068,0.333,0.258,31.5,1,9,10,23,5,0,9,2,51,0,-0.829,-0.43,1.0
2018,66354,주효상,넥센,포수,False,80,110,0.2181818181818181,0.295,0.273,0.568,0.055,0.315,0.257,35.1,1,12,9,24,3,0,10,2,36,1,-0.274,-0.64,1.0
